"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","avtt_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","avmv_20202024","TimeFrame_2","GeoID_Description_3","GeoVintage_3","GeoID_Name_3","GeoID_3","GeoID_Formatted_3","d4a_2021","TimeFrame_3","GeoID_Description_4","GeoVintage_4","GeoID_Name_4","GeoID_4","GeoID_Formatted_4","d4c_2021","TimeFrame_4"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112012","040131112012","=""040131112012""","869.05","2021","Block Group, 2010","2010","040131112012","040131112012","=""040131112012""","3.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112013","040131112013","=""040131112013""","642.40","2021","Block Group, 2010","2010","040131112013","040131112013","=""040131112013""","3.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112014","040131112014","=""040131112014""","726.89","2021","Block Group, 2010","2010","040131112014","040131112014","=""040131112014""","3.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112021","040131112021","=""040131112021""","779.19","2021","Block Group, 2010","2010","040131112021","040131112021","=""040131112021""","5.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112031","040131112031","=""040131112031""","535.11","2021","Block Group, 2010","2010","040131112031","040131112031","=""040131112031""","2.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112041","040131112041","=""040131112041""","915.98","2021","Block Group, 2010","2010","040131112041","040131112041","=""040131112041""","11.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131113001","040131113001","=""040131113001""","282.98","2021","Block Group, 2010","2010","040131113001","040131113001","=""040131113001""","14.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131113002","040131113002","=""040131113002""","480.12","2021","Block Group, 2010","2010","040131113002","040131113002","=""040131113002""","9.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131113003","040131113003","=""040131113003""","219.94","2021","Block Group, 2010","2010","040131113003","040131113003","=""040131113003""","7.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131113004","040131113004","=""040131113004""","909.28","2021","Block Group, 2010","2010","040131113004","040131113004","=""040131113004""","6.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131113005","040131113005","=""040131113005""","497.56","2021","Block Group, 2010","2010","040131113005","040131113005","=""040131113005""","2.00","2021"
