ZIP,Unemployment_Rate,Labor_Force,Median_Income,Poverty_Rate,Percent_Bachelors,Commute_Time,Vehicles_per_Household,Percent_Public_Transit,Percent_Driving,Transportation_Score
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
