"GeoID_Description","GeoID_Name","SitsinState","GeoID","GeoID_Formatted","pcivunemp","TimeFrame","GeoVintage","Source","Location"
"Zip Code Tabulation Area","85351","AZ","85351","=""85351""","6.32","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85353","AZ","85353","=""85353""","3.46","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85354","AZ","85354","=""85354""","7.99","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85355","AZ","85355","=""85355""","2.53","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85361","AZ","85361","=""85361""","2.47","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85363","AZ","85363","=""85363""","3.06","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85373","AZ","85373","=""85373""","3.99","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85374","AZ","85374","=""85374""","4.20","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85375","AZ","85375","=""85375""","4.43","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85377","AZ","85377","=""85377""","3.90","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85378","AZ","85378","=""85378""","6.42","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85379","AZ","85379","=""85379""","4.21","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85381","AZ","85381","=""85381""","2.78","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85382","AZ","85382","=""85382""","3.44","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85383","AZ","85383","=""85383""","3.77","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85387","AZ","85387","=""85387""","2.34","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85388","AZ","85388","=""85388""","4.67","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85390","AZ","85390","=""85390""","0.36","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85392","AZ","85392","=""85392""","3.54","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85395","AZ","85395","=""85395""","4.23","2020-2024","2020","Census","Maricopa (County, 2022)"
"Zip Code Tabulation Area","85396","AZ","85396","=""85396""","6.39","2020-2024","2020","Census","Maricopa (County, 2022)"
