"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","ptranmv_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","ptranpt_20202024","TimeFrame_2"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85301","85301","85301","84.99","2020-2024","Zip Code Tabulation Area, 2020","2020","85301","85301","85301","2.54","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85302","85302","85302","79.39","2020-2024","Zip Code Tabulation Area, 2020","2020","85302","85302","85302","1.90","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85303","85303","85303","81.68","2020-2024","Zip Code Tabulation Area, 2020","2020","85303","85303","85303","1.09","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85304","85304","85304","77.34","2020-2024","Zip Code Tabulation Area, 2020","2020","85304","85304","85304","0.27","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85305","85305","85305","84.60","2020-2024","Zip Code Tabulation Area, 2020","2020","85305","85305","85305","0.21","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85306","85306","85306","77.89","2020-2024","Zip Code Tabulation Area, 2020","2020","85306","85306","85306","1.25","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85307","85307","85307","82.79","2020-2024","Zip Code Tabulation Area, 2020","2020","85307","85307","85307","0.23","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85308","85308","85308","73.90","2020-2024","Zip Code Tabulation Area, 2020","2020","85308","85308","85308","0.83","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85309","85309","85309","89.05","2020-2024","Zip Code Tabulation Area, 2020","2020","85309","85309","85309","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85310","85310","85310","72.67","2020-2024","Zip Code Tabulation Area, 2020","2020","85310","85310","85310","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85320","85320","85320","70.59","2020-2024","Zip Code Tabulation Area, 2020","2020","85320","85320","85320","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85322","85322","85322","100.00","2020-2024","Zip Code Tabulation Area, 2020","2020","85322","85322","85322","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85323","85323","85323","82.80","2020-2024","Zip Code Tabulation Area, 2020","2020","85323","85323","85323","0.28","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85326","85326","85326","82.52","2020-2024","Zip Code Tabulation Area, 2020","2020","85326","85326","85326","0.27","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85329","85329","85329","79.84","2020-2024","Zip Code Tabulation Area, 2020","2020","85329","85329","85329","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85331","85331","85331","64.43","2020-2024","Zip Code Tabulation Area, 2020","2020","85331","85331","85331","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85333","85333","85333","83.55","2020-2024","Zip Code Tabulation Area, 2020","2020","85333","85333","85333","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85335","85335","85335","81.82","2020-2024","Zip Code Tabulation Area, 2020","2020","85335","85335","85335","0.12","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85337","85337","85337","92.52","2020-2024","Zip Code Tabulation Area, 2020","2020","85337","85337","85337","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85338","85338","85338","77.19","2020-2024","Zip Code Tabulation Area, 2020","2020","85338","85338","85338","0.19","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85339","85339","85339","74.80","2020-2024","Zip Code Tabulation Area, 2020","2020","85339","85339","85339","1.50","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85340","85340","85340","76.18","2020-2024","Zip Code Tabulation Area, 2020","2020","85340","85340","85340","0.07","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85345","85345","85345","82.12","2020-2024","Zip Code Tabulation Area, 2020","2020","85345","85345","85345","0.56","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85351","85351","85351","76.53","2020-2024","Zip Code Tabulation Area, 2020","2020","85351","85351","85351","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85353","85353","85353","81.78","2020-2024","Zip Code Tabulation Area, 2020","2020","85353","85353","85353","0.66","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85354","85354","85354","76.31","2020-2024","Zip Code Tabulation Area, 2020","2020","85354","85354","85354","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85355","85355","85355","80.78","2020-2024","Zip Code Tabulation Area, 2020","2020","85355","85355","85355","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85361","85361","85361","79.02","2020-2024","Zip Code Tabulation Area, 2020","2020","85361","85361","85361","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85363","85363","85363","90.25","2020-2024","Zip Code Tabulation Area, 2020","2020","85363","85363","85363","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85373","85373","85373","72.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85373","85373","85373","0.86","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85374","85374","85374","76.91","2020-2024","Zip Code Tabulation Area, 2020","2020","85374","85374","85374","0.29","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85375","85375","85375","71.79","2020-2024","Zip Code Tabulation Area, 2020","2020","85375","85375","85375","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85377","85377","85377","44.57","2020-2024","Zip Code Tabulation Area, 2020","2020","85377","85377","85377","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85378","85378","85378","81.20","2020-2024","Zip Code Tabulation Area, 2020","2020","85378","85378","85378","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85379","85379","85379","77.87","2020-2024","Zip Code Tabulation Area, 2020","2020","85379","85379","85379","0.01","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85381","85381","85381","76.19","2020-2024","Zip Code Tabulation Area, 2020","2020","85381","85381","85381","0.38","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85382","85382","85382","72.72","2020-2024","Zip Code Tabulation Area, 2020","2020","85382","85382","85382","0.12","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85383","85383","85383","69.70","2020-2024","Zip Code Tabulation Area, 2020","2020","85383","85383","85383","0.30","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85387","85387","85387","75.28","2020-2024","Zip Code Tabulation Area, 2020","2020","85387","85387","85387","0.42","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85388","85388","85388","80.60","2020-2024","Zip Code Tabulation Area, 2020","2020","85388","85388","85388","0.04","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85390","85390","85390","74.63","2020-2024","Zip Code Tabulation Area, 2020","2020","85390","85390","85390","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85392","85392","85392","82.12","2020-2024","Zip Code Tabulation Area, 2020","2020","85392","85392","85392","0.25","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85395","85395","85395","75.11","2020-2024","Zip Code Tabulation Area, 2020","2020","85395","85395","85395","0.05","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85396","85396","85396","70.98","2020-2024","Zip Code Tabulation Area, 2020","2020","85396","85396","85396","0.73","2020-2024"
